name,namespace,root,standard,gated_reason,has_compiled_dts,methods_defined,parameterized_methods,definition_status,definition_kind,live_status,live_runs,live_drivers,live_contexts,methods_passed,methods_failed,methods_skipped,elements_passed,elements_failed,elements_skipped,behavioral_status,behavioral_checks
access/summaries/accessFromTabSet,access,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/accessSummaryPage,access,True,True,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/accessSummaryTabSet,access,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/flsObjectSelector,access,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/objectAccessSummaryPage,access,True,True,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/slotOptions,access,True,True,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
access/summaries/userFieldHistoryTrackingTable,access,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
action/actionRenderer,action,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
action/actionsRibbon,action,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
action/executorLwcHeadless,action,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
action/lwcQuickActionLayout,action,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
action/quickActionWrapper,action,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
activities/activityPanelComposer,activities,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
activities/activityTimelineFixedLayout,activities,True,True,,True,4,1,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
activities/activityTimelineFixedStencil,activities,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
adt/settings/linkToNewPage,adt,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
adt/settings/opptyStageDescriptionForm,adt,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
adt/settings/progressRing,adt,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
adt/settings/setupAssistant,adt,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
adt/settings/setupFeature,adt,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/agentExplorer,app_dev_agent,True,True,,True,5,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/agenticShell,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/backlogWorkItem,app_dev_agent,True,True,,True,11,2,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/baseChatInput,app_dev_agent,True,True,,True,36,1,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/chatPanelEmptyState,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/combobox,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/commonError,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/contentStream,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/customButtonIcon,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/customSectionsSection,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/emptyState,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/errorNotification,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/executiveSummarySection,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/homePanelChatView,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/longRunningTask,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/metadataNavigation,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/panelMessageBlock,app_dev_agent,True,True,,True,5,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/panelMessageInput,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/planBacklog,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/planPreviewLayout,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/prdLayout,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/requirementsDocument,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/scopedNotification,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/sfStudioHome,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/sfStudioProjectPanel,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/skeleton,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/statusPanel,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/streamStatus,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/studioChatInput,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/studioRecommendedUtterances,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
app_dev_agent/useCasesSection,app_dev_agent,False,,,False,0,0,passed,codegen,not_seen,0,,,0,0,0,0,0,0,not_seen,0
